Id_Produktu,LP,Indeks,Identyfikator,Opis,Cena brutto,Sciezka,Kategoria,Atrybut,Formularz Zamowien,Warstwy,Kolor
153,0,"RAMKA FOTO","RAMKA MAŁA 3","Ramka do zdjęć o wymiarze zdjęcia 9 x 13 cm, możliwość ustawienia w pionie lub poziomie. Zadruk ramki oraz pola pod wypełnienie żywicą. Dostępne około 10 wzorów, lub wg. wzoru klienta. Ramka wykonana z Materiału drewnopochodnego MDF.",12.0000,"2","Ramki do zdjęć i termometry","0",,"Warstwa 1,cut",
154,0,"RAMKA FOTO","RAMKA MAŁA 4","Ramka do zdjęć o wymiarze zdjęcia 9 x 13 cm, możliwość ustawienia w pionie lub poziomie. Zadruk ramki oraz pola pod wypełnienie żywicą. Dostępne około 10 wzorów, lub wg. wzoru klienta. Ramka wykonana z Materiału drewnopochodnego MDF.",12.0000,"1.6","Ramki do zdjęć i termometry","0",,"Warstwa 1",
155,0,"DK41-TERMOMETR","TERMOMETR MDF","Termometr wykonany z drewna dostępny w wielu ciekawych wzorach. Spora skala ułatwia odczytanie temperatury.",8.0000,"1.6","Ramki do zdjęć i termometry","0",,"Warstwa 1",
157,0,"ETUI OKULARY","ETUI NA OKULARY","Kolorowe etui na okulary wykonane z twardego materiału. Możliwość nadrukowania dowolnej grafiki na wierzchniej stronie pokrowca.",8.5000,"1.7","Akcesoria podróżne","0",,"Warstwa 1",
158,0,"DK39-017A1","KŁÓDKA DUŻA","Pamiątkowa kłódeczka z miejscem na wykonanie grafiki. Możliwe wykonanie dowolnej grafiki, wymiar 33mm.",6.0000,"1.7","Akcesoria podróżne","0",,"Warstwa 1",
159,0,"DK31-004A","PORTFEL PUSZKA","Niewielki jednokomorowy portfel wykonany 
z twardego materiału. Praktyczna pamiątka z miejscem na grawer z prostą grafiką.",3.5000,"6","Akcesoria podróżne","0",,"Warstwa 1",
160,0,"DK32-PORTFEL","PORTFEL SPORTOWY","Portfele wykonane z wodoodpornego materiału i wysokiej jakość nadruku typu „hot sticker”. Każdy portfel posiada sznurek umożliwiający zamocowanie do szlufki  spodni lub na szyi, praktyczne 2 kieszenie na zamek do przechowywania banknotów oraz monet. Oferu",7.5000,"4","Akcesoria podróżne","0",,"Warstwa 1",
161,0,"DK41-031B KOŁO","PUDEŁKO NA LEKI KOŁO","Pudełko kieszonkowe zawierające przegródki wewnętrzne na leki. Pudełko na zewnątrz posiada miejsce wypełnione żywicą/logo. Produkt zapakowany w woreczek.",7.0000,"2","Akcesoria podróżne","0",,"Warstwa 1,cut",
162,0,"DK41-031B","PUDEŁKO NA LEKI PROSTOKĄT","Pudełko kieszonkowe zawierające przegródki wewnętrzne na leki. Pudełko na zewnątrz posiada miejsce wypełnione żywicą/logo. Produkt zapakowany w woreczek.",7.0000,"2","Akcesoria podróżne","0",,"Warstwa 1,cut",
164,0,"DK41-SCYZORYK","SCYZORYK WIELOFUNKCYJNY XL","Scyzoryk turystyczny, metalowy, posiada 11 funkcji. Oferujemy 3 kolory: czarny, niebieski, bordowy. Produkt zapakowany w estetycznym i trwałym opakowaniu z tworzywa i kartonika.",10.0000,"6","Akcesoria podróżne","0",,"Warstwa 1",
165,0,"DK39-EKO5","ZAWIESZKA DO WALIZKI ECO","Praktyczna i funkcjonalna pamiątka z grawerem wykonanym laserowo. Skutecznie pomaga w oznakowaniu bagażu w każdej podróży. Dostępne kolory:  Czarny ze srebrnym grawerem, Brązowy z czarnym grawerem i Beżowy z czarnym grawerem. Brak możliwości zmiany koloru",7.5000,"3","Akcesoria podróżne","0",,"Warstwa 1",
166,0,"ZAW WALIZKA","ZAWIESZKA DO WALIZKI PLASTIK","Praktyczna i funkcjonalna pamiątka z możliwością wykonania dowolnej grafiki.  Skutecznie pomaga w oznakowaniu bagażu w każdej podróży.",4.0000,"1.7","Akcesoria podróżne","0",,"Warstwa 1",
170,0,"DK41-031A SERCE","LUSTERKO METAL SERCE","Lusterko kieszonkowe oferowane w 3 kształtach: serce, owal, kwadrat. Lusterko metalowe z zewnątrz miejsce wypełnione żywicą/logo. Produkt zapakowany w woreczek.",7.5000,"2","Akcesoria podróżne","0",,"Warstwa 1,cut",
171,0,"DK41-031A KWADRAT","LUSTERKO METAL KWADRAT","Lusterko kieszonkowe oferowane w 3 kształtach: serce, owal, kwadrat. Lusterko metalowe z zewnątrz miejsce wypełnione żywicą/logo. Produkt zapakowany w woreczek.",7.5000,"2","Akcesoria podróżne","0",,"Warstwa 1,cut",
172,0,"DK41-031A OWAL","LUSTERKO METAL OWAL","Lusterko kieszonkowe oferowane w 3 kształtach: serce, owal, kwadrat. Lusterko metalowe z zewnątrz miejsce wypełnione żywicą/logo. Produkt zapakowany w woreczek.",7.5000,"2","Akcesoria podróżne","0",,"Warstwa 1,cut",
173,0,"WACHLARZ DREWNO","WACHLARZ DREWNO","Wachlarz wykonany z cienkiej sklejki. Możliwe jest wykonanie graweru laserowego z prostą grafiką.",6.0000,"3","Akcesoria podróżne","0",,"Warstwa 1",
174,0,"DK41-BIDON SZKŁO","BIDON SZKLANY","Szklana butelka 500ml z pokrowcem. Pokrowiec z neoprenu zapewnia komfort w przypadku bardzo zimnych napojów oraz wygodny chwyt. Bezpieczna zakrętka z uszczelką silikonową zapobiega wyciekaniu napoju. Na każdym pokrowcu znajduję się wysokiej jakości, nowoc",7.5000,"4","Akcesoria podróżne","0",,"Warstwa 1",
176,0,"GRA LABIRYNT","GRA ZRĘCZNOŚCIOWA","Gra zręcznościowa przeznaczona dla dzieci wykonana
 z plastiku i metalowych elementów. Możliwe wykonanie dowolnej grafiki pod labiryntem.",4.5000,"2.1","Dziecięce","0",,"Warstwa 1,cut",
177,0,"LINIJKA","LINIJKA PUZZLE","Linijka z tworzywa sztucznego na której możliwe jest wykonanie grafiki ze wzorem. Linijka wmontowane ma także puzzle stanowiące przyjemną rozrywkę. Produkt zapakowany w stylowym woreczku. Długość linijki to 15,5 cm.",4.5000,"1.8","Dziecięce","0",,"Warstwa 1",
178,0,"NAKLEJKI CG","NAKLEJKI CG","Kolorowe naklejki dla dzieci z możliwością wykonania dowolnej grafiki. Prosty sposób na oznaczenie 
i upiększenie przedmiotów codziennego użytku. Produkt zapakowany w stylowy woreczek. ",3.0000,"2.1","Dziecięce","0",,"Warstwa 1,cut",
179,0,"DK30-NASZYJNIK SERCE","NASZYJNIK AKRYL SERCE","Naszyjnik z akrylu w kształcie serca z imieniem dziewczynki, dostępne w 3 kolorach. Produkt zapakowany na stylowej kartce w woreczku.",4.5000,"1.2","Dziecięce","0",,"biały, kolor",
180,0,"DK27-063A","NIEŚMIERTELNIK NA ŁAŃCUSZKU","Naszyjnik nieśmiertelnik wykonany ze stali nierdzewnej z imieniem chłopięcym. Oferujemy 60 imion chłopięcych 
i znaki zodiaku, możliwe wykonanie dowolnego graweru. Produkt zapakowany na stylowej kartce w woreczku.",3.5000,"6","Dziecięce","0",,"Warstwa 1",
181,0,"SKARBONKA MDF","SKARBONKA MDF","Skarbonka w formie kostki o wymiarach 9 x 9 cm, wykonana z płyty MDF, możliwy dowolny zadruk wg wzoru klienta. Posiadamy 56 wzorów ze śmiesznymi hasłami.",9.5000,"1.8","Dziecięce","0",,"Warstwa 1",
182,0,"MAGNES PUZZLE","UKŁADANKA PUZZLE","Wysokiej jakości układanka z tworzywa sztucznego na której możliwe jest wykonanie grafiki ze wzorem. Produkt zapakowany w stylowym woreczku. Wymiar 75 x75 mm.",4.5000,"1.8","Dziecięce","0",,"Warstwa 1",
184,0,"AUTO ZAPACH","ZAPACH DO SAMOCHODU"," Woreczek z materiału organzy z granulkami polimerowymi nasączonymi w perfumach. Kompozycji 6 zapachów: Black, Ocean, New Car, Truskawka, Wanilia i Guma Balonowa. Każdy zapach został zapakowany w foliowy szczelnie zgrzany woreczek barierowy zabezpieczając",4.5000,"7","Do auta","0",,"Warstwa 1",
185,0,"ZAWIESZKA AUTO","ZAWIESZKA DREWNIANA","Zawieszka wykonana z drewna. Naniesione grafiki drukiem UV z obu stron, będą efektowną ozdobą każdego samochodu. Nasz produkt to 6 kształtów, każda sztuka zapakowana na kartoniku.",4.5000,"1.3","Do auta","0",,"Warstwa 1",
187,1,"POPIELNICZKA-3","POPIELNICZKA CERAMICZNA","Popielniczki w kształcie otwartej paczki papierosów wykonane z białej ceramiki. Ciekawy przedmiot użytkowy z możliwością wykonania dowolnej grafiki na frontowej części produktu.",8.0000,"1.2","Zapalniczki i popielniczki","0",,"Warstwa 1",
188,2,"POPIELNICZKA -2","POPIELNICZKA KWADRAT","Kwadratowa popielniczka wykonana z grubego szkła posiadająca grafikę nadrukowaną na podstawie. Możliwe wykonanie dowolnej grafiki.",8.0000,"1.1","Zapalniczki i popielniczki","0",,"Warstwa 1",
189,3,"POPIELNICZKA -1","POPIELNICZKA OKRĄGŁA","Okrągła popielniczka wykonana z grubego szkła posiadająca grafikę nadrukowaną na podstawie. Możliwe wykonanie dowolnej grafiki.",8.0000,"1.1","Zapalniczki i popielniczki","0",,"Warstwa 1",
